galaxy,n_points,RMS_5G_M_km_s,RMS_Newtonian_km_s,mean_chi_obs,mean_chi_pred,negative_g_rel_points,Mtotal_proxy_Msun
UGC07125,13,23.482689194917565,21.209547707269067,0.8704602641746584,1.5104192797374387,0,7624699137.391856
NGC1705,14,23.495974503198703,44.86883854026655,2.039978061582395,1.217273614631914,0,549278501.5264213
NGC0024,29,23.892233345282637,47.18129248016706,1.4545426526277763,0.8482595474076194,0,3408123622.3264384
UGC06667,9,24.05295058410427,48.79034345735921,2.5985492531231698,1.5967952856531897,0,1617655114.847788
NGC6674,15,24.373054959698912,119.19759956224416,1.2946808322707617,1.1370404537319299,0,153601297973.12662
NGC4085,7,25.228841584494944,21.937902793068105,0.0870239253194905,0.5708662994915918,2,14859196625.830349
F563-1,17,25.840831051579833,62.47755725522295,2.1914178988088477,1.5791467531822274,0,6974897592.602498
IC4202,32,26.020050443532128,69.12159369429722,0.47073602913160884,0.6897139663303459,3,132070371413.2358
F563-V2,10,26.98685068048232,59.03782298606216,2.033995624449571,1.3459891909582495,0,5549019178.964453
UGC03580,47,27.65974175117133,36.01284882388974,0.29308681506783724,0.7342695593037112,22,15340690520.750261
F561-1,6,27.680652146744197,9.593416723190401,0.45062969487589855,1.3612775450923398,0,4667947133.048588
NGC3877,13,28.31383527631665,33.84095588590208,0.32474072327503045,0.6456551490688104,2,49927875618.764404
NGC2915,30,28.583258902031254,53.35994986959267,2.071820854953218,1.400916643010806,2,1249570909.8772118
NGC4157,17,28.87963325408123,52.61576992556368,0.5751779661131771,0.8608574272281866,2,71163967859.59251
NGC2998,13,29.34880569472148,71.792278099358,1.0226683309160263,0.8398750457269716,0,123978450659.51161
UGC05253,73,29.389813333317864,51.901162031417755,0.388023638466463,0.2885339649059784,0,131705431296.63255
UGC09133,68,29.483496436013695,81.5120236070411,0.7145997091249849,0.7294271165877017,4,225805195488.6757
UGC06628,7,29.734498969982063,6.610278419625663,0.29494768743521954,1.2702827298089936,2,3714817787.630991
NGC3726,12,30.424784016708262,50.40406506912891,0.6627623074938814,0.9937831687687043,0,52027911345.50595
F571-8,13,31.103545074496335,55.62174794317093,0.6946939991154257,0.8816088314193237,4,6014338179.013279
F568-V1,15,31.214534916119607,65.4962131684661,2.0968859690802244,1.3887955589461238,0,7569573277.050671
UGC06786,45,31.874929214375058,82.03089838641979,0.8881177179361656,0.5835786296515585,0,50309696161.835526
