galaxy,n_points,RMS_frozen_four_km_s,RMS_Newtonian_km_s,negative_g_rel_points,Mtotal_proxy_Msun,RMS_train_groupkfold_km_s,improved_frozen_vs_newtonian,improved_groupkfold_vs_newtonian
UGC05253,73,50.738685994554906,51.90116203141776,0,131705431296.63255,29.389813333317864,True,True
UGC09133,68,57.12723520283822,81.5120236070411,4,225805195488.6757,29.48349643601369,True,True
UGC06628,7,27.92656297175769,6.610278419625663,2,3714817787.630991,29.734498969982063,False,False
NGC3726,12,50.120549402708505,50.40406506912891,0,52027911345.50595,30.424784016708266,True,True
F571-8,13,34.237491516263326,55.62174794317093,4,6014338179.013279,31.10354507449633,True,True
F568-V1,15,33.83039494515666,65.4962131684661,0,7569573277.050671,31.214534916119607,True,True
UGC06786,45,21.074580770704827,82.03089838641979,0,50309696161.835526,31.874929214375054,True,True
ESO563-G021,30,25.129358130800284,117.979670125645,3,214796308995.77063,32.01093005555192,True,True
NGC5055,28,63.97561067924904,53.47664009693142,6,98971810752.8407,32.0564778885426,False,True
NGC4051,7,54.31109892712713,23.60037443042511,0,44821106515.71411,32.813988671679084,False,False
UGC06787,71,37.66409747840413,80.4478972961444,16,71768550180.03168,32.840346838804166,True,True
UGC12506,31,28.64441252407491,116.02345816251234,0,158050234912.37903,32.97710177528821,True,True
UGC07399,10,31.632478592822693,58.88791065688592,0,1617484087.6698189,33.00784720274606,True,True
UGC02916,43,71.50262495209435,40.95808523191052,11,126309705108.91882,33.01124930779472,False,True
NGC0891,18,84.17930518277423,42.57519820881461,4,88920351988.76518,33.123598248583,False,True
F568-1,12,37.47050582319322,69.70293838788194,0,10753126372.558365,33.246383019653585,True,True
NGC2955,24,81.37804538526146,42.64993554277889,2,227986382152.28876,33.90786045203213,False,True
F574-2,5,28.919020973112787,2.7969788182509565,1,3659060683.2042527,34.146681463312525,False,False
UGC11557,12,38.407437600038826,11.23338457424356,5,10411988718.666515,34.37213344134472,False,False
NGC7331,36,87.94929906815514,59.39346802245262,8,162480884557.45413,34.76875116768131,False,True
UGC06973,9,87.016838311096,43.517537448619045,4,32082318142.99765,36.49568139680504,False,True
UGC02953,115,39.39705477087914,86.34554693462555,9,161673811642.79187,36.61054532915367,True,True
UGC06614,13,64.95769766391298,65.30357718099515,1,133146061418.28128,39.20298884092601,True,True
UGC09037,22,58.68148208981771,38.69185930539162,3,63161852971.11543,40.8283012390946,False,False
UGC02455,8,46.20695520457787,17.65045838919845,7,2824562375.2880206,43.21703418979541,False,False
NGC0801,13,66.98149240840391,53.955412557620825,2,236301234774.26877,45.08683257514442,False,True
NGC2841,50,16.851681511973712,130.5114045500069,0,174378424075.09113,47.36457286079699,True,True
NGC4389,6,65.01509074626959,23.5662941993844,5,12761277437.56554,49.472599422600105,False,False
NGC4088,12,85.24925948294228,25.396289301523897,3,76175068405.63972,49.58088668961671,False,False
UGC11914,65,27.37775737291525,53.5297580784848,2,84370448749.24144,49.93827189193444,True,True
NGC6195,23,98.6539479311385,32.46587637550845,3,256021898516.59305,52.623162836317455,False,False
UGC02487,17,12.52603973720457,167.74717522346182,0,316999332531.8595,54.88977776350205,True,True
NGC4217,19,97.2059272389853,47.85850745851352,8,61762878737.19747,55.85203440145053,False,False
NGC5371,19,95.50662741284069,45.30694573277187,0,236113584731.6033,58.03642575172727,False,False
NGC5985,33,38.96879840578622,135.9777910249058,0,156665752878.9024,62.77996575624893,True,True
