galaxy,n_points,RMS_5G_M_km_s,RMS_Newtonian_km_s,mean_chi_obs,mean_chi_pred,negative_g_rel_points,Mtotal_proxy_Msun
NGC6503,31,12.051933076547936,56.83404358118103,1.3388042983584498,1.3823000663095106,0,10053732336.18002
UGC12732,16,12.411732528863963,44.61563268607259,1.7355466779075321,1.3639321572517984,0,7672577508.015745
UGC02487,17,12.52603973720457,167.74717522346182,1.3064695460859805,1.2951340045599482,0,316999332531.8595
NGC3109,25,13.079468744958543,32.07944925871144,1.9827495759280294,1.402814512126433,0,684425606.4414277
NGC0055,21,13.464763156653632,30.10483924708385,0.9306208240462243,1.28551498840751,0,7161747944.03975
UGC05986,15,13.691148183577164,53.971504234343115,1.4182077783288918,1.179316428720816,0,4268250357.1337233
UGC08490,30,13.758397940374465,44.87123580471808,1.7600334403535887,1.355768940958561,0,1715105059.1618984
NGC6015,44,13.773413545065086,65.50085592854408,1.1274886850377521,1.1627522954376288,0,29836835059.09215
UGC04278,25,14.458594294292531,34.956933089362124,1.517863148490793,1.1680771241771268,0,3222544150.4239807
UGC05764,10,14.707343702445266,29.626853146959423,2.131622185648159,1.2669450500996216,0,376839154.27200294
NGC3198,43,14.832392132762703,56.099243597328886,0.8926345992502516,1.1353773566942915,3,42994002962.86135
F574-1,14,15.043129780557578,48.52533758837649,1.6336629908634965,1.279100079258482,0,6330067932.135293
NGC1003,36,15.101824792894023,57.05520264141121,1.558422115324003,1.4974358091864504,0,13311833395.258215
UGC06446,17,15.345082042529683,43.361690679924365,1.7664842810806591,1.3036884670637658,0,3155645129.0540843
UGC00128,22,15.466868265785866,74.49268163919993,1.8810268621125177,1.6487125226070076,0,23430228046.971462
PGC51017,6,15.708838597673976,4.749998947161798,0.35551555372906485,1.2902706366868508,0,258911939.56627783
UGC07608,8,16.110637878457535,33.45240342275178,1.9693401947865574,1.2815705622726068,0,793499049.2709684
ESO444-G084,7,16.150000655842355,33.349804034715035,2.028014816721726,1.2798434624739827,0,277536973.454455
NGC2841,50,16.851681511973712,130.5114045500069,1.1575248592342617,1.0980595785368983,0,174378424075.09113
UGC08286,17,16.85897346469644,44.65400461674634,1.8015659883511501,1.274898303679935,0,1996800926.3155935
F565-V2,7,16.945940832473173,41.087913426981345,1.9823963998402365,1.3986255817435727,0,1860751571.1791227
NGC6789,4,17.39363647093348,26.49840257662861,1.821761124402106,0.8620518029056852,0,60953867.55361076
NGC4214,14,17.625829210162166,43.616236802795356,1.6706077240095252,1.1884298721301048,0,851773402.7217497
UGC00731,12,17.94392939444336,38.17360738121145,2.1249251420021626,1.3924134765359977,0,3450805393.3934917
NGC4010,12,17.984449858563046,36.86370394291005,0.7665907618523331,1.0505361148719032,0,12677064490.30554
F583-1,25,18.193493412643946,37.59737362189561,1.952068101860117,1.3205780608514854,0,6465712210.439187
NGC6674,15,18.774743698140945,119.19759956224416,1.2946808322707617,1.3821330825135154,0,153601297973.12662
UGC01230,11,18.775505015837822,53.52025702299252,1.518375184936223,1.3880468009385702,0,18460897142.4652
UGC02259,8,18.938632775022633,48.104127634342866,1.8590606556918232,1.281409161848951,0,2315905619.740939
F563-V1,6,19.184356717727283,4.948718563402544,0.43602988023253214,1.4218354940382054,0,1242416201.3387866
UGC05721,23,19.535675295141687,43.42112660188199,1.6919960185221488,1.1169212298830895,0,1217204828.5130355
UGC04325,8,19.904118690209717,46.16285880622443,1.705019584557137,1.1092146902331452,0,2455600161.4774547
NGC0024,29,20.65379345783638,47.18129248016706,1.4545426526277763,0.9154195839270796,0,3408123622.3264384
UGC06786,45,21.074580770704827,82.03089838641979,0.8881177179361656,0.8841172660003338,0,50309696161.835526
F579-V1,14,21.54610268256307,55.59624575573928,1.6527015884448695,1.1748060505019968,0,10970042385.91368
NGC1705,14,21.690172577954826,44.86883854026655,2.039978061582395,1.3027560029581424,0,549278501.5264213
UGC04305,22,21.947474030278595,6.3534996230072105,0.2625145096084238,1.1845626003815246,5,1417454259.6799283
UGC07125,13,22.549591083689535,21.209547707269067,0.8704602641746584,1.4475180306801634,0,7624699137.391856
UGC08699,41,24.316641849977156,57.25812439420853,0.6509610351164016,0.8544933922806504,4,37163017425.24258
NGC3769,12,24.391133899392184,50.35656246265608,1.0322808452569634,1.3527813419381671,1,18052881584.129868
ESO563-G021,30,25.129358130800284,117.979670125645,0.8365668820436161,1.0188356888719443,3,214796308995.77066
F561-1,6,25.42942576237221,9.593416723190401,0.45062969487589855,1.2665187574377457,0,4667947133.048588
NGC4100,24,25.506601664567967,66.37776887597958,0.9481879744683606,1.1768995341152515,0,39397259909.87954
NGC4559,32,26.36479470485762,39.97820918135414,0.7892599790535262,1.2059241533885907,0,23395922624.863113
UGC06667,9,27.16633675232198,48.79034345735921,2.5985492531231698,1.3866846273405837,0,1617655114.847788
UGC11914,65,27.37775737291525,53.5297580784848,0.3953612346902106,0.46400668231143133,2,84370448749.24144
UGC06628,7,27.92656297175769,6.610278419625663,0.29494768743521954,1.194075480496887,2,3714817787.630991
UGC03205,48,28.293051209600552,71.86627541704375,0.7542634026332949,0.9233883818817344,2,84411715608.51074
UGC12506,31,28.64441252407491,116.02345816251234,1.4537026761273872,1.247311466948174,0,158050234912.37903
F574-2,5,28.919020973112787,2.7969788182509565,-0.03058538331906411,1.3836149229542465,1,3659060683.2042527
NGC2915,30,29.04073887280847,53.35994986959267,2.071820854953218,1.4247683003129985,2,1249570909.8772118
F563-V2,10,29.366292443075327,59.03782298606216,2.033995624449571,1.1791499182294074,0,5549019178.964453
F563-1,17,29.722205992532444,62.47755725522295,2.1914178988088477,1.4282580803845746,0,6974897592.602498
NGC3893,10,31.075250602186166,58.424136708413236,0.7309022975300252,1.0481223990764734,0,40295004116.57069
UGC07399,10,31.632478592822693,58.88791065688592,2.056009988218657,1.201674277311348,0,1617484087.6698189
NGC4138,7,32.449406927019055,55.13347538266021,0.8106476105788081,1.1494439907541596,0,27038025287.671684
